2024-12-07T16:03:44.968+10:00  WARN 24712 --- [RecordsManagement] [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-12-07T16:04:13.902+10:00  WARN 24743 --- [RecordsManagement] [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-12-07T16:04:29.568+10:00  INFO 24743 --- [RecordsManagement] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2024-12-07T16:04:29.569+10:00  INFO 24743 --- [RecordsManagement] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2024-12-07T16:04:41.907+10:00  INFO 24743 --- [RecordsManagement] [http-nio-8080-exec-10] c.m.r.controller.DashboardController     : getDashboard(...)
2024-12-07T16:04:41.907+10:00  INFO 24743 --- [RecordsManagement] [http-nio-8080-exec-10] c.m.r.controller.DashboardController     : getDashboard(...) - optionalUser is Present
2024-12-07T16:04:41.911+10:00  INFO 24743 --- [RecordsManagement] [http-nio-8080-exec-10] c.m.r.controller.DashboardController     : preparing to retrieve user
2024-12-07T16:04:41.930+10:00  INFO 24743 --- [RecordsManagement] [http-nio-8080-exec-10] c.m.r.controller.DashboardController     : preparing to set model attributes
2024-12-07T16:04:42.531+10:00  INFO 24743 --- [RecordsManagement] [http-nio-8080-exec-8] c.m.r.controller.PersonController        : getPersonDetails(...)
2024-12-07T16:04:43.028+10:00  INFO 24743 --- [RecordsManagement] [http-nio-8080-exec-7] c.m.r.controller.StudentController       : getStudentsByPersonId(...) - personId:1
2024-12-07T16:04:44.890+10:00  INFO 24743 --- [RecordsManagement] [http-nio-8080-exec-9] c.m.r.controller.StudentController       : viewStudentFullDetails(...) - studentId: 1
2024-12-07T16:04:59.351+10:00  INFO 24743 --- [RecordsManagement] [http-nio-8080-exec-8] c.m.r.controller.PriorSchoolController   : updatePriorSchool(...) - priorSchoolId: 1
2024-12-07T16:05:44.708+10:00  INFO 24743 --- [RecordsManagement] [http-nio-8080-exec-9] c.m.r.controller.PriorSchoolController   : updatePriorSchool(...) - priorSchoolId: 1
2024-12-07T16:07:09.120+10:00  WARN 24936 --- [RecordsManagement] [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-12-07T16:07:18.065+10:00  INFO 24936 --- [RecordsManagement] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2024-12-07T16:07:18.066+10:00  INFO 24936 --- [RecordsManagement] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2024-12-07T16:07:26.609+10:00  INFO 24936 --- [RecordsManagement] [http-nio-8080-exec-8] c.m.r.controller.DashboardController     : getDashboard(...)
2024-12-07T16:07:26.609+10:00  INFO 24936 --- [RecordsManagement] [http-nio-8080-exec-8] c.m.r.controller.DashboardController     : getDashboard(...) - optionalUser is Present
2024-12-07T16:07:26.613+10:00  INFO 24936 --- [RecordsManagement] [http-nio-8080-exec-8] c.m.r.controller.DashboardController     : preparing to retrieve user
2024-12-07T16:07:26.630+10:00  INFO 24936 --- [RecordsManagement] [http-nio-8080-exec-8] c.m.r.controller.DashboardController     : preparing to set model attributes
2024-12-07T16:07:27.235+10:00  INFO 24936 --- [RecordsManagement] [http-nio-8080-exec-5] c.m.r.controller.PersonController        : getPersonDetails(...)
2024-12-07T16:07:27.731+10:00  INFO 24936 --- [RecordsManagement] [http-nio-8080-exec-6] c.m.r.controller.StudentController       : getStudentsByPersonId(...) - personId:1
2024-12-07T16:07:30.328+10:00  INFO 24936 --- [RecordsManagement] [http-nio-8080-exec-7] c.m.r.controller.StudentController       : viewStudentFullDetails(...) - studentId: 1
2024-12-07T16:07:41.538+10:00  INFO 24936 --- [RecordsManagement] [http-nio-8080-exec-5] c.m.r.controller.PriorSchoolController   : updatePriorSchool(...) - priorSchoolId: 1
